"distancia","potencia","tipo"
428,0.0833582900431333,"avion"
50,0.0238421767728128,"ruido"
16,0.132226531334875,"ruido"
240,0.053562049819721,"ruido"
110,0.0379399810184087,"ruido"
458,0.0774099206180103,"avion"
252,0.204259022457879,"avion"
116,0.016443638774673,"ruido"
53,0.0757698465816923,"ruido"
255,0.186973561931373,"avion"
335,0.0935414170942975,"ruido"
236,0.0630091146554012,"ruido"
104,0.258563130573234,"avion"
47,0.0276105566461391,"ruido"
170,0.256157170361062,"ruido"
111,0.260281904395306,"avion"
378,0.0459233700912057,"ruido"
364,0.211236159353371,"avion"
162,0.0102236922782106,"ruido"
115,0.264173424754004,"avion"
24,0.214717622555862,"ruido"
385,0.128783165660606,"avion"
87,0.282145800971584,"avion"
381,0.158436146634562,"avion"
397,0.16326263532273,"avion"
144,0.0198462358375779,"ruido"
109,0.292866289461571,"avion"
412,0.136726428414334,"ruido"
228,0.150463486299323,"ruido"
453,0.0745747120791134,"avion"
280,0.314632292712829,"avion"
18,0.0550824972787844,"ruido"
146,0.310974597948338,"avion"
28,0.315357584630279,"ruido"
311,0.25730496919505,"avion"
446,0.127481389928675,"avion"
65,0.160754186715352,"ruido"
380,0.0579201755274123,"ruido"
56,0.180626993423167,"ruido"
342,0.0567045531250424,"ruido"
215,0.0850978771994334,"ruido"
248,0.180023634991914,"ruido"
158,0.0029586368179878,"ruido"
118,0.305968854690596,"avion"
389,0.121373421865979,"avion"
238,0.0316269285285151,"ruido"
396,0.204925838942941,"avion"
91,0.302804394909074,"avion"
67,0.0311542612972886,"ruido"
28,0.273302703618155,"avion"
263,0.223836515096312,"avion"
100,0.0768125088175985,"ruido"
117,0.110415593250122,"ruido"
67,0.262636156482713,"avion"
253,0.192852319600477,"avion"
432,0.0925301954510346,"avion"
140,0.245602683773016,"avion"
284,0.22130299942458,"avion"
485,0.0680183392102853,"avion"
405,0.183764752367915,"avion"
